ipid;linie;km_go;tunnelname;tunnelsystem;inbetrieb_nahmejahr;koordinate_e;koordinate_n;geopos;kanton
903947.0;890;28.6;Kerenzerbergtunnel;1-Röhre / 2-Spuren;1961;2727695.578;1220705.387;47.1250138047, 9.12163475426;Glarus
903863.0;890;23.758;Stutztunnel;1-Röhre / 2-Spuren;1859;2732353.476;1219778.634;47.115764726, 9.18273364202;Glarus
770360.0;100;116.588;Tunnel de Leuk (103);1-Röhre / 2-Spuren;2004;2614863.172;1129325.259;46.3151660062, 7.63160258852;Valais
2093145.0;111;3.803;Tunnel de Salanche (077);1-Röhre / 1-Spur;1904;2550920.482;1147258.601;46.4748458927, 6.79958772008;Vaud
2093162.0;111;5.782;Tunnel du Carroz (079);1-Röhre / 1-Spur;1904;2549149.695;1148009.325;46.4814665017, 6.77644911399;Vaud
2093157.0;111;5.336;Tunnel du Crêt (078);1-Röhre / 1-Spur;1904;2549588.896;1147984.448;46.4812759983, 6.78217100003;Vaud
770412.0;152;63.516;Tunnel Bois de la Bâtie (088);1-Röhre / 2-Spuren;1949;2498524.936;1116480.97;46.1921232736, 6.12417565597;Genève
3789903.0;152;67.965;TC Rive gauche;1-Röhre / 2-Spuren;2019;1115425.856;2500679.616;56.5043737116, -16.6719122713;
3789899.0;152;67.853;TC Voirie de Carouge;1-Röhre / 2-Spuren;2019;1115335.082;2500611.692;56.5035612335, -16.6729583085;
3363360.0;200;38.43;Tunnel de Combes (035);1-Röhre / 2-Spuren;1870;2524631.576;1175483.858;46.7262810638, 6.45268979919;Vaud
1432229.0;210;53.401;Tunnel de la Raisse (098);1-Röhre / 2-Spuren;2000;2547448.151;1190770.555;46.8659781847, 6.74939016977;Vaud
659417.0;210;73.534;Tunnel de Vauseyon (005);1-Röhre / 2-Spuren;1859;2560239.455;1204392.539;46.9893977834, 6.91595554974;Neuchâtel
162667.0;210;103.11;Tunnel Vingelz (092);1-Röhre / 2-Spuren;1968;2583799.834;1220471.044;47.1350198218, 7.22508994112;Bern
1401839.0;219;31.294;Tunnel de Fleurier (022);1-Röhre / 1-Spur;1860;2534378.608;1195721.3;46.9093453519, 6.57727492192;Neuchâtel
1459715.0;219;34.21;Tunnel du Haut de la Tour (24);1-Röhre / 1-Spur;1860;2531931.154;1196080.042;46.9123254741, 6.54509821795;Neuchâtel
1074891.0;226;79.343;Tunnel de Choindez 1 (059);1-Röhre / 1-Spur;1876;2595191.61;1241594.864;47.3252027335, 7.37501886826;Jura
513255.0;226;74.786;Tunnel de Moutier 7 (054);1-Röhre / 1-Spur;1876;2595644.443;1237994.785;47.2928252722, 7.38104464103;Bern
513331.0;226;74.98;Tunnel de Moutier 8 (055);1-Röhre / 1-Spur;1876;2595420.366;1238102.457;47.2937921817, 7.37808116545;Bern
1067574.0;230;121.339;Wolftunnel;1-Röhre / 1-Spur;1913;2612744.392;1265392.47;47.5391363718, 7.60788800677;Basel-Stadt
1075142.0;240;97.7;Tunnel de Glovelier (063);1-Röhre / 1-Spur;1877;2581584.13;1243457.281;47.3417126195, 7.19493881107;Jura
1075162.0;240;100.209;Tunnel de Montmelon (064);1-Röhre / 1-Spur;1877;2580079.286;1245168.168;47.3570568546, 7.17494980495;Jura
595860.0;250;78.827;Mühletaltunnel (012);1-Röhre / 2-Spuren;1860;2586736.363;1190310.099;46.8637860203, 7.26468393088;Fribourg
